nom_produit,marque,prix,categorie,plateforme,site_source,url_produit,note,nombre_avis,disponibilite,page
"Logitech Webcam C920 HD Pro, Appels et Enregistrements Vidéo Full HD 1080p, Gaming Stream, Deux Microphones, Petite, Agile, Réglable, PC/Mac/Portable/Tablette/Chromebook - Noir",Logitech,"59,34€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,En stock,1
"Logitech Brio 300 Webcam Full HD avec confidentialité, micro à réduction de bruit, USB-C, Certifié pour Zoom, Microsoft Teams, Google Meet, Correction automatique de l’éclairage - Graphite",Logitech,"49,97€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,En stock,1
"Logitech Combo Touch, étui clavier pour iPad Pro 13 pouces (M4 et M5)(2024 et 2025), FRA AZERTY, rétroéclairé amovible avec support, saisie confortable, mode multi-usage - Graphite",Logitech,"277,55€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,1",0,En stock,1
"Logitech MX Master 4, Souris sans Fil Ergonomique avec Retour haptique performant avancé, défilement Ultra-Rapide, Charge USB-C, Bluetooth, Windows, macOS - Graphite",Logitech,"129,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,En stock,1
"Logitech MX Master 3S - Souris sans fil performante avec défilement ultra-rapide, ergonomique, 8K PPP, compatible avec les surfaces en verre, clics discrets, Bluetooth, Windows, Linux, Chrome-Graphite",Logitech,"95,98€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,3",0,En stock,1
"Logitech M185 Souris sans Fil, 2.4 GHz avec Mini Récepteur USB, Longévité de la Pile 12 Mois, Résolution du Capteur 1000 PPP, Ambidextre, Compatible PC, Mac, Ordinateur Portable - Gris/Noir",Logitech,"8,86€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
Logitech G Pro X SE Casque Gaming Filaire avec Microphone Micro détachable DTS Headphone X 7.1 pour PC Xbox One Xbox Series X|S PS5 PS4 avec DAC USB - Noir,Logitech,"69,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,2",0,En stock,1
"Logitech Lift Souris Ergonomique Verticale, sans Fil, Bluetooth ou récepteur USB Logi Bolt, Silencieuse, 4 Boutons, Compatible avec Windows/macOS/iPadOS, Ordinateur Portable, PC - Graphite",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,Indisponible,1
"Logitech G G502 HERO Souris Gamer Filaire Haute Performance, Capteur Gaming HERO 25K, 25 600 PPP, RVB, Poids Ajustable, 11 Boutons Programmables, Mémoire Intégrée, PC/Mac - Noir",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,Indisponible,1
"Logitech MX Keys S Clavier sans Fil Rechargeable USB C, Clavier Silencieux, Plat, Rétroéclairé, Touches Ergonomiques et Programmables, Bluetooth, Windows PC, Linux, Chrome, Mac,AZERTY Français-Gris",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,Indisponible,1
"Logitech MX Anywhere 3S Souris Sans Fil Silencieuse, Compacte, Défilement Rapide, Suivi toute Surface en 8K DPI, Boutons Programmables, USB C, Bluetooth, Windows PC, Linux, Chrome, Mac - Graphite",Logitech,"66,74€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,En stock,1
"Logitech G PRO X SUPERLIGHT 2, souris gaming sans fil, souris Pro-Grade 60 g avec 5 boutons programmables, capteur 44 000 DPI, taux de rapport 8 kHz, recharge USB-C pour PC/Mac- Noir",Logitech,"99,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,7",0,En stock,1
"Logitech G512 Clavier Gamer Mécanique, Eclairage RGB LIGHTSYNC, Tactile Switchs GX Brown, Alliage Aluminium 5052, Touches de Fonction Complètes, Relais USB, Français AZERTY - Noir",Logitech,"109,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Logitech Signature M650 Souris sans Fil - pour Mains de Petites et Moyennes Tailles, Pile 2 ans, Clic Silencieux, Boutons côtés Programmables, Bluetooth, Multi-Appareils - Gris",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,Indisponible,1
"Logitech G Pro X2 SUPERSTRIKE, Souris Gaming sans Fil Lightspeed, Performance Ultra-Rapide, Ultra-légère (61 g), Retour haptique de clic Personnalisable, Chargement USB-C, pour PC/Mac - Blanc",Logitech,"179,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Logitech Signature M650 L Souris sans Fil Grande Taille, pour Mains Larges, Clics Silencieux, Boutons de Côtés Programmables, Bluetooth, Multi Appareils Compatible - Gris",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,Indisponible,1
"Kit de microphone USB de jeu avec bras perche – Micro à condensateur RVB avec suppression du bruit, réglage de la réverbération du bouton muet, surveillance pour le streaming, les podcasts, la",Logitech,"39,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
LOFREE Souris sans fil Bluetooth 4000 DPI Écran OLED Mac Windows PC,Logitech,"80,00€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,2",0,En stock,1
"Glorious GHS Eternal - Casque gaming stéréo pour PC, PS5, PS4, Xbox, Switch. Transducteurs inclinés sur mesures, micro détachable 3,5 mm haute-clarté ajustable. Résistant, confort longue durée. Blanc",Logitech,"59,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,0",0,En stock,1
"Logitech M705 Marathon sans Fil Souris, Récepteur USB Unifying 2,4 GHz, 1000 PPP, 5 Boutons Programmables, Pile Durée 3 Ans, Compatible PC, Mac, Ordinateur Portable, Chromebook - Graphite",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,Indisponible,1
"Logitech MX Vertical Souris Ergonomique sans Fil, Multi-Dispositifs, Bluetooth ou 2,4 GHz avec Récepteur USB Unifying, Suivi Optique 4000 PPP, 4 Boutons, Charge Rapide,Portable/PC/Mac/iPad OS-Graphite",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,Indisponible,1
"Logitech 920-007907 MK235 Combo Clavier Souris sans Fil pour Windows, 2,4 GHz Récepteur USB Unifying, Clavier sans Fil, 15 Touches de Fonctions, Batterie Longue Durée 3 Ans, PC/Portable, Gris foncé",Logitech,"24,30€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,3",0,En stock,1
"Logitech G G502 X PLUS LIGHTSPEED Souris Gaming RVB Sans Fil - Souris optique boutons hybrides LIGHTFORCE, LIGHTSYNC RVB, Capteur gaming HERO 25K, Compatible avec PC - macOS/Windows - Noir",Logitech,"98,82€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,En stock,1
"Logitech G G305 Souris Gamer sans Fil, Capteur Gaming HERO, 12 000 PPP, Ultra-Léger, 6 Boutons Programmables, Batterie Longue Durée, Mémoire Intégrée, Compatible avec PC/Mac - Noire",Logitech,"39,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Logitech G PRO X 2 LIGHTSPEED Casque audio bluetooth, micro-casque détachable, enceinte graphène 50 mm, DTS:X Casque 2.0—7.1 Surround, Bluetooth/USB/3,5 mm Aux, PC, PS5, PS4, Nintendo Switch - Noir",Logitech,"154,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,2",0,En stock,1
"Logitech MX Keys Mini Minimaliste Clavier sans Fil Illuminé, Compact, Bluetooth, Rétroéclairé, USB-C, Compatible Apple macOS, iOS, Windows, Construction métal - Clavier Francais AZERTY, Gris foncé",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,Indisponible,1
"Logitech G PRO X SUPERLIGHT 2 SE, souris gaming sans fil, souris Pro-Grade 60 g avec 5 boutons programmables, capteur 44 000 DPI, taux de rapport 8 kHz, recharge USB-C pour PC/Mac - Noir",Logitech,"99,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,En stock,1
"Logitech MK950 Signature Slim – Clavier et Souris sans Fil AZERTY FR, Design élégant, Frappe et clics discrets, 3 appareils, Multi-OS, Windows et Mac – Graphite",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"3,9",0,Indisponible,1
"Logitech MK295 Silent ensemble souris et clavier sans fil avec technologie SilentTouch, pavé numérique taille standard, réactivité instantanée sans fil, 90% de bruit en moins, AZERTY Français - Gris",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,3",0,Indisponible,1
"Logitech G203 LIGHTSYNC USB Souris Gaming avec Éclairage RVB Personnalisable, 6 Boutons Programmables, Capteur Niveau Gaming, 8 000 PPP, Ultra-Léger - Noire",Logitech,N/A,Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,6",0,Indisponible,1
"Logitech Wireless Frances Keyboard K270 Inalambrico, Noir, 3.20 x 45.00 x 16.00 cm",Logitech,"24,31€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,2",0,En stock,1
"FOXMM x MCHOSE L7 Pro Souris Superlight 39g, Capteur 26 000 DPI, 6 DPI Réglables, Taux de Polling 8K Hz avec Récepteur 8K Ultra-Rapide, Souris de Jeu sans Fil/Filaire BT/2,4 G, Batterie 200 h Blanc",Logitech,"68,95€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,8",0,En stock,1
"MCHOSE L7 Pro Souris Gaming Légère 39 g avec Récepteur Personnalisé 8K sans Fil Ultra Rapide, 26 000 DPI, Taux de Rapport 8 K Hz, Souris de Jeu sans Fil/Filaire BT/2,4 G, Batterie 200 Heures Noir",Logitech,"59,99€",Informatique & Accessoires,E-commerce,Amazon FR,N/A,"4,4",0,En stock,1
