nom_produit,marque,prix,categorie,plateforme,site_source,url_produit,note,nombre_avis,disponibilite,page
Razer Viper V4 Pro - Souris Gaming Esport sans Fil symétrique - Ultra légère 49 g - HyperSpeed Gen-2 avec fréquence de 8 KHz - Capteur Focus Pro 50K - Molette Optique - PC/Mac | Noir,Razer,"170,99€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,8",0,En stock,1
Razer Viper V4 Pro - Souris Gaming Esport sans Fil symétrique - Ultra légère 50 g - HyperSpeed Gen-2 avec fréquence de 8 KHz - Capteur Focus Pro 50K - Molette Optique - PC/Mac | Blanc,Razer,N/A,Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,8",0,Hors stock,1
"Razer Tartarus V2 - Pavé Numérique Gamer (32 Touches Entièrement Programmables, Forme Ergonomique avec Paume Détachable, Fonctionnalité Hypershift, Eclairage RGB Chroma) Noir",Razer,"89,95€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,3",0,En stock,1
"Razer BlackWidow V4 X - Clavier Gaming Mécanique Chroma RGB (Switchs Mécaniques Verts, 6 Touches Macros Dédiées, Touches ABS à Double Injection) FR-Layout | Noir",Razer,"109,95€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,2",0,En stock,1
"Razer Casque de Jeu BlackShark V2 X : Son Surround 7.1 50 mm Pilote Mousse à mémoire de Forme – PC, PS4, PS5, Nintendo Switch, Xbox One, Xbox Series X & S, Mobile – Jack 3,5 mm Noir",Razer,"57,95€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Razer Basilisk V3 - Souris Gaming Filaire (10+1 Boutons programmables, Molette HyperScroll Tilt, Interrupteur de Souris Optique, Capteur Optique Focus+ 26K DPI) Noir",Razer,"42,86€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Razer Naga V2 Pro - Souris Gaming sans Fil (avec Molette HyperScroll Pro, 3 Panneaux Latéraux Interchangeables, Capteur Optique Focus Pro 30K, Interrupteur de Souris Optique Gen-3) Noir",Razer,"159,90€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,1",0,En stock,1
"Razer BlackShark V2 X - Casque Gaming Esports Multiplateforme (Haut-parleurs Triforce de 50mm, Annulation Passive du Bruit Avancée, Son 7.1 Surround, Microphone Cardioïde) Noir",Razer,"39,95€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Razer Viper V3 HyperSpeed - Souris sans fil pour l’Esport - Capteur optique 30K Focus Pro (Jusqu’à 280 Heures d’Autonomie, Switches Mécaniques de 2e gen, Polling Rate Réel de 4000 Hz) Noir",Razer,"49,95€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,3",0,En stock,1
"Razer DeathAdder Essential (2021) - Souris Gaming Filaire avec Capteur Optique de 6400 DPI (Design Ergonomique, 5 Boutons Programmables, Jusqu'à 10M de Clics) Noir",Razer,"21,99€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Razer Viper V3 Pro - Souris de Jeu Esports sans Fil ultralégère (8K Hz HyperPolling, Design léger 54g, capteur Focus Pro 35K DPI, HyperSpeed Wireless, 95 Heures d'autonomie) Noir",Razer,"129,99€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,6",0,En stock,1
"Razer Naga V2 HyperSpeed - Souris de Jeu MMO sans Fil Ergonomique (avec 19 Boutons programmables, sans Fil HyperSpeed (2,4 GHz), Bluetooth, jusqu'à 250 Heures, capteur Optique Focus Pro 30K) Noir",Razer,"94,79€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,3",0,En stock,1
"Razer Leviathan V2 X - Barre de Son de Gaming pour PC (avec Haut-parleurs Large Bande, Format Bureau Compact, Alimentation et Transmission Audio par USB Type-C, Bluetooth 5.0) Noir",Razer,"109,95€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,2",0,En stock,1
"Razer Ornata V3 X - Clavier Gamer à Profil Bas (Switches à Membrane Silencieux, Repose-Poignet Ergonomique, RGB Chroma, Touches en ABS Vernies aux UV) Clavier AZERTY | Noir",Razer,"34,99€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,4",0,En stock,1
"Razer Kraken V4 - Casque de Jeu sans Fil (Connectivité 3 Modes, Drivers Triforce 40mm, 9-Zone RGB Earcup Lighting, Mix & Volume adjustments, THX Spatial Audio) Noir",Razer,"158,75€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"3,6",0,En stock,1
"Razer Seiren V3 Mini - Microphone USB ultra-compact (microphone à condensateur 14 mm, directivité supercardioïde, détecteur de mise en sourdine, absorbeur de chocs intégré) Noir",Razer,"39,95€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"GravaStar Mercury V60 Pro Clavier Gaming 60% Effet Hall, Switchs Magnétiques, RT 0,005mm, 8K Polling Rate, Rapid Trigger, Châssis Aluminium CNC, Latence 0,125ms, Pilote Web, RGB (Silver Frost)",Razer,"199,95€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Glorious GHS Eternal - Casque gaming stéréo pour PC, PS5, PS4, Xbox, Switch. Transducteurs inclinés sur mesures, micro détachable 3,5 mm haute-clarté ajustable. Résistant, confort longue durée. Blanc",Razer,"59,99€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,0",0,En stock,1
"FOXMM MAD 60 Pro HE Clavier Gamer 60% RVB Filaire, Rapid Trigger 8000 Hz, Switchs Magnétiques Effet Hall, Ultra Précision RT 0,01 mm, Actionnement Réglable, pour Jeux FPS, Noir",Razer,"58,95€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,7",0,En stock,1
"Razer Cobra - Souris Gaming Filaire avec Chroma RGB (Conception légère de 57 g, Commutateurs optiques de Souris de 3e gén, avec éclairage sous la Souris) Noir",Razer,"28,49€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,6",0,En stock,1
Razer Kraken Kitty V2 - Édition Gengar Pokémon - Casque USB - Pointes Gengar - Éclairage réactif au Stream - Microphone cardioïde HyperClear - Haut-parleurs Triforce 40mm - Son Surround | Violet,Razer,"135,30€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Razer Mouse Dock Pro & Charging Puck - Station de Recharge magnétique sans Fil & Module pour Souris compatibles (Hyperspeed 4K Hz, éclairage Chroma 8 RVB e) Noir",Razer,"89,95€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,5",0,En stock,1
"Razer Barracuda X - Casque Gaming sans Fil Multiplateforme (SmartSwitch Dual sans Fil, Design Ergonomique, TriForce 40mm, Microphone Cardioïde, Contrôles sur Casque, Batterie de 50h, USB-C) Noir",Razer,"89,16€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,2",Livraison plus rapide,En stock,1
"Razer BlackWidow V4 Pro (Switches Jaune) - Clavier Gamer Mécanique Snap Tap (Switches Mécaniques Silencieux, 8 Touches Macro Dédiées, Repose-Poignet en Similicuir) AZERTY Clavier FR | Noir",Razer,"269,99€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,4",0,En stock,1
"Razer BlackShark V3 - Casque sans Fil pour l’Esport - Haut-parleurs en Titane de 50mm - Micro HyperClear Amovible - THX Spatial Audio - Wireless 2,4Ghz & Bluetooth - Profils FPS - PC/Mac | Blanc",Razer,"145,59€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,3",0,En stock,1
"Razer Basilisk V3 Souris de Jeu Ergonomique Personnalisable avec Interrupteur de Souris Le Plus Rapide, capteur Optique 26 K dpi (éclairage RVB Chroma, 11 Boutons programmables, molette d'inclinaison",Razer,"41,53€",Gaming & Périphériques,E-commerce,Amazon FR,N/A,"4,6",0,En stock,1
