nom_produit,prix,note,nombre_avis,url_produit,page
"HyperX Alloy Rise 75 Wireless – Clavier de Jeu mécanique 75% remplaçable à Chaud, PC, rétroéclairage jusqu'à 80 Heures, Double sans Fil 2,4 GHz et Bluetooth",156,,"156
34€",,1
Repose-poignet HyperX Wrist Rest – Claviers sans pavé numérique - Gel rafraîchissant - Mousse à mémoire de forme - Antidérapant,19,,"19
99€",,1
HyperX Repose-Poignet Wrist Rest – Claviers de Taille Compact - Gel rafraîchissant - Mousse à mémoire de Forme - Antidérapant,19,,"19
99€",,1
HyperX QuadCast 2 - Frost,98,,"98
99€
Le plus bas :
98,99€",,1
"HyperX Alloy Rise 75 Wireless – Clavier de Jeu mécanique 75% remplaçable à Chaud, PC, rétroéclairage jusqu'à 80 Heures, Double sans Fil 2,4 GHz et Bluetooth",139,,"139
99€
Conseillé :
229,99€",,1
HyperX Cloud II Casque de Jeu | Son Surround 7.1 | Cadre en Aluminium | Microphone antibruit Amovible | Hi-FI avec Pilotes Audio de 53 mm | Compatible avec PC/PS4/Xbox/Mac/Mobile/VR – Rouge,81,,Plus de 50 achetés au cours du mois dernier,,1
"HyperX Cloud III S, Casque Gaming sans Fil, Bluetooth/2,4 GHz, PC/PS5/Xbox, jusqu'à 200h de Batterie, transducteurs 53 mm, DTS, Micro 10 mm, Blanc",109,,Plus de 50 achetés au cours du mois dernier,,1
"HyperX Cloud Stinger 2 Core pour PlayStation, Casque Gaming Filaire PS5/PS4, Haut parleurs 40 mm, Micro antibruit avec Mute par pivotement, Commandes Audio sur Casque, Léger, Noir",25,,Plus de 50 achetés au cours du mois dernier,,1
"HyperX Cloud III, Casque Gaming Filaire, PC/PS5/Xbox Series X|S, DTS Headphone:X, Haut parleurs inclinés 53 mm, Micro 10 mm antibruit, USB-C/USB-A/3,5 mm, Blanc et Rose",70,,"70
00€
Conseillé :
99,99€",,1
Logitech G Pro X SE Casque Gaming Filaire avec Microphone Micro détachable DTS Headphone X 7.1 pour PC Xbox One Xbox Series X|S PS5 PS4 avec DAC USB - Noir,69,,Plus de 500 achetés au cours du mois dernier,,1
HyperX Cloud Earbuds II - Gaming Earbuds with Mic,29,,"29
99€
Conseillé :
39,99€",,1
"HyperX Cloud Alpha Binaural Bandeau Noir, Rouge - Casques audio (PC/Jeux, Binaural, Bandeau, Noir, Rouge, Aluminium, Discord, TeamSpeak)",89,,"89
56€",,1
"HyperX Cloud Jet – Dual Wireless Gaming Headset, 2.4GHz dongle, Bluetooth 5.2, PC, PS5, Nintendo Switch, Steam Deck, Mobile, USB-A",39,,"39
90€
Conseillé :
59,99€",,1
"HyperX CloudX – Casque-micro officiel sous licence, Compatible avec Xbox One et Xbox Series X|S, Mousse à mémoire de forme, Microphone amovible à suppression de bruit",59,,"59
99€
Ancien :
79,60€",,1
"HyperX Cloud III – Casque de Gaming Filaire, PC, PS5, Xbox Series X|S, DTS, Mousse à mémoire de Forme, Microphone au Son cristallin de 10 mm, avec Suppression du Bruit, USB-C, USB-A, 3.5mm – Noir",59,,Plus de 400 achetés au cours du mois dernier,,1
"HyperX Cloud III S - Casque de Jeu sans Fil multiplateforme 2,4 GHz Bluetooth - Autonomie jusqu'à 120 Heures - 2,4 GHz - Pilote d'inclinaison de 53 mm - Microphone Amovible de 10 mm - Noir",104,,Plus de 300 achetés au cours du mois dernier,,1
"MCHOSE V9 Pro Casque Gaming, Son Surround 7.1, Pilotes Audio 53 mm, Micro Détachable, Bandeau Réglable, Légère, USB-C Filaire, 2.4G / BT sans Fil, pour PC, Mac, PS5, PS4, Switch Series, Noir",56,,Plus de 50 achetés au cours du mois dernier,,1
HyperX Repose-poignet Wrist Rest – Souris - Gel rafraîchissant - Mousse à mémoire de forme - Antidérapant,14,,"14
99€",,1
"Ortizan Microphone de Jeu USB, Microphones à condensateur pour PC, PS4/5 et Mac, Microphone Podcast avec Suppression du Bruit, Microphone avec sourdine, réverbération, Surveillance, Bras réglable",27,,"27
99€
Conseillé :
31,95€",,1
"HyperX Cloud III – Casque de Gaming Filaire, PC, PS5, Xbox Series X|S, DTS, Mousse à mémoire de Forme, Microphone au Son cristallin de 10 mm, avec Suppression du Bruit, USB-C, USB-A, 3.5mm – Noir",59,,Plus de 300 achetés au cours du mois dernier,,1
HyperX Cloud Alpha Wireless – Casque de jeu pour PC,119,,Plus de 50 achetés au cours du mois dernier,,1
"HyperX Cloud III S – Casque de Jeu sans Fil, multiplateforme, 2,4 GHz, Bluetooth, autonomie Jusqu’à 120 Heures, 2,4 GHz, transducteurs inclinés de 53 mm, Microphone détachable de 10 mm – Noir-Rouge",109,,Plus de 50 achetés au cours du mois dernier,,1
"HyperX Cloud Stinger 2 Core Casque de Jeu PC léger avec Microphone Rotatif pour Couper Le Souffle, avec Son DTS Headphone:X Spatial Audio, Pilotes 40 mm",30,,"30
59€
Conseillé :
49,99€",,1
"HyperX QuadCast 2 S, Microphone USB à condensateur RGB pour Gaming/Streaming/Podcast, 32 bits/192 kHz, 4 directivités, Tap to Mute, Commandes intégrées, Support Antichoc Amovible, PC/Mac, USB-C, Noir",139,,"139
99€
Le plus bas :
139,99€",,1
"HyperX SoloCast 2, Microphone USB à condensateur pour Gaming/Streaming/Podcast, cardioïde, 24 bits/96 kHz, Filtre Anti Pop intégré, Suspension Antichoc Interne, Tap to Mute, Pied inclinable, PC, Noir",59,,"59
51€",,1
"HyperX KHX-HSCP-RD Cloud II - Casque Gaming avec Micro pour PC/PS4/Mac, Rouge",,,,,1
"HyperX Cloud III - Casque de Gaming sans Fil pour PC, PS5, PS4, jusqu'à 120h de Batteries, 2.4GHz Wireless, Mousse à mémoire de Forme, 10mm Microphone, Rouge et Noir",150,,"150
67€
Conseillé :
179,99€",,1
"HyperX SoloCast – Microphone de jeu USB à condensateur, pour PC, PS4 et Mac, Désactivation du micro par pression, Diagramme polaire cardioïde, Gaming, Streaming, Podcasts, Twitch, YouTube, Discord",65,,"65
21€
Conseillé :
74,99€",,1
"Turtle Beach Atlas Air Casque Gaming Ouvert Sans fil w/ Audio Haute Fidélité 24 bits, Micro de Qualité Diffusion, Coussinets en Mousse à Mémoire de Forme et Bluetooth pour PC",136,,Windows,,1
HyperX QuadCast 2 - Frost,98,,"98
99€
Le plus bas :
98,99€",,1
